size, time
0,0
10,1994
20,2991
30,2713
40,3989
50,10086
60,9973
70,28924
80,41811
90,63788
100,38757
110,52857
120,56967
130,70244
140,70811
150,80810
160,95082
170,97841
180,127165
190,119541
200,134416
210,134643
220,143951
230,160760
240,179518
250,185317
260,206448
270,205445
280,206552
290,225398
300,243408
310,252105
320,264294
330,280303
340,288061
350,312591
360,333740
370,348070
380,361146
390,389255
400,393348
410,412893
420,443814
430,461114
440,501277
450,498665
460,508779
470,537484
480,554192
490,573775
500,615402
510,644266
520,657238
530,704120
540,700050
550,722725
560,740453
570,764157
580,786920
590,842745
600,841463
610,890972
620,947380
630,922535
640,965264
650,983343
660,1006308
670,1118238
680,1167872
690,1165451
700,1130939
710,1178029
720,1193504
730,1228026
740,1281434
750,1286540
760,1323423
770,1356388
780,1385849
790,1425098
800,1459566
810,1526223
820,1524908
830,1558740
840,1601745
850,1635625
860,1754476
870,1721692
880,1845065
890,1789771
900,1837088
910,1888724
920,1957835
930,1974488
940,1988369
950,2043675
960,2088301
970,2126763
980,-2107814
990,-2102807
